ID;IBAN;Bedrijf_ID
1;BE63 3250 5235 1425;1
2;FR78 2379 9863 9664 2UNA YBBS B73;1
3;EE77 2637 1584 6472 1671;1
4;FR58 0492 6466 578Y 1DYN AFYX R67;1
5;IE25 ACRQ 6229 3354 3650 59;1
6;FO65 8789 5733 7291 61;1
7;BH74 TSUR VKC1 XTVC 1NEA EZ;1
8;IL91 5558 7077 2697 6000 438;1
9;MR04 5204 1468 4122 3896 2832 263;1
10;AE40 7472 3477 4079 7980 940;2
11;IE40 GVEJ 5741 7547 3405 95;2
12;FI15 5548 6692 5093 48;2
13;MR64 8038 1701 1579 9401 0924 271;2
14;TR81 0862 1OP1 C2LR USID M1DN ME;2
15;KZ04 837D PRTN TYV9 FINV;2
16;MC77 0524 5557 10X1 JXOM MNX8 Q34;3
17;FR51 8005 2112 82C7 HKOE AZMV P09;3
18;LT09 1066 5747 9678 2504;4
19;MC80 5731 5150 86SA PI0Z OYXW 649;4
20;PK06 DKDA LE27 BBGQ GQQC 6L4I;4
21;FR45 6858 1699 22OL YMKT ZVXN K53;4
22;MU33 ZXBY 4785 3004 3859 7485 446I CS;4
23;AZ19 SZAB M2KH NXIX 8D6Q XMRM CLK6;4
24;NO51 8748 5000 723;4
25;AT23 5861 0291 9038 7989;5
26;KW82 JYZQ QBUZ WOWB D8LI BC2W 4BAI YA;5
27;GL07 4579 1399 3023 45;5
28;RO47 VKPO WBAQ UPC4 XASD 4PZQ;5
29;SI85 6843 2915 1146 926;6
30;FR12 9322 7975 57OV 5FJV HEZE B46;6
31;MT36 IBHY 7479 4CBG OPMR 5BCN 38PD JPA;6
32;KW64 HSHV 5FKC YEON WWVE W04U M8J2 7G;6
33;SM32 P259 4741 2128 VI4X TCXQ XH9;6
34;DE19 6313 4177 3819 4935 10;6
35;MU39 MLCX 8922 3247 0156 7307 296F MA;6
36;RS93 4651 8400 9166 1934 49;6
37;TR42 1320 9GQT W3H9 7TFB L35D ET;6
38;CH87 8337 4MKM BHCM FHR9 I;6
39;LI72 7191 0TYJ XBWB P3XS G;7
40;GE65 IT30 3303 7907 2161 86;7
41;MU27 TUXL 1891 7095 5894 3850 998U OH;7
42;TN84 3724 6387 1254 8174 6425;7
43;SK61 3000 5500 6447 5201 9433;7
44;SM22 P313 7835 090S MCZJ JTNH G6E;7
45;CH62 5112 8I2E 6MPX 6N8T C;8
46;ME46 1481 7259 7055 9019 28;8
47;ES73 6864 6698 2924 5405 4618;8
48;FR44 3107 4022 32QK XKSM 6HSY 351;8
49;PL30 5889 1879 3599 1366 3283 7352;8
50;FO25 2966 1311 4519 16;8
51;MK29 671N H1RS QEAP B34;8
52;FR70 9173 8201 11IN K4JQ 1VVO W74;8
53;BR45 3152 7379 7354 8079 9512 430P 9;8
54;CZ74 4083 2722 9325 4980 9134;9
55;GB28 FPNY 7605 7694 3436 04;9
56;HU09 6332 2558 2135 0451 6341 2971;9
57;SM90 L625 3089 929B VQR7 DI6D HYD;9
58;RS84 6482 1367 8088 6872 80;10
59;BH42 ZYWV 85CP 2LAS 2BHW 7G;10
60;GB81 ROZU 3870 7689 9550 64;11
61;MC79 4356 9696 38V5 RLTW 3Q86 B45;11
62;MR47 7183 2511 3939 3152 1105 341;11
63;PT75 0158 7120 4763 8960 4098 6;11
64;FR36 8878 0554 02CR PUAT 6Z0I R63;11
65;AD79 6351 0661 RBDE IULD AGXN;11
66;ME54 1113 8542 5794 5696 52;11
67;GR92 5331 299L C90N X41L EXLG TIG;12
68;FR97 7230 1446 36SR I90M DAAU G08;12
69;MT83 EPHY 1799 2DSY ZXZX AWRC GLFE YCY;12
70;SE28 6506 8349 9235 1287 4970;12
71;SK55 9731 1402 8909 2316 2059;12
72;KZ48 1325 SE8W P472 B9V9;12
73;DE61 5009 5379 9383 1731 93;12
74;ES19 0083 6380 3655 4029 1944;13
75;AE66 5563 0776 4658 3067 247;13
76;ES77 7555 4397 7357 2902 2593;13
77;CR60 6122 0706 2682 3786 5;14
78;AE11 5630 7115 7369 2414 174;14
79;SM71 N724 2836 910L TFVO CQZR LSZ;15
80;IS69 3183 0217 6675 7686 4038 47;15
81;PK11 HDFN QIW2 S9UG RL2Q GE3X;15
82;VG34 PWQN 1178 8556 8612 3506;15
83;BH75 XOJX 4GJB HSEU 4EGH HH;15
84;FR50 9342 6218 659J GWNA GMUR X53;15
85;AL30 0767 4969 18UL JCFF PIVO T4FF;16
86;BE80 5148 9317 4255;16
87;FR12 1380 4904 00OT H74N AIQL F46;16
88;SI31 2372 9552 6155 362;17
89;IS27 2690 9364 6280 9675 0551 50;17
90;FR90 3658 2322 65ZS HW7U CQH5 X28;17
91;GL11 8191 7238 5133 54;17
92;IE09 HSDM 7612 0868 6725 98;18
93;HR87 1955 3334 6232 9102 6;18
94;HR92 3194 8457 0100 6428 0;18
95;GL18 8575 2992 3578 24;18
96;CR80 0978 3752 1536 6603 2;19
97;BR84 7712 3726 6300 2487 7136 614L U;19
98;LU49 6727 ENLW 4NRL A2JN;20
99;CH85 3593 760K YL2G SHF2 H;20
100;SK30 4984 0181 3390 7911 6202;20
